sentence	is_variable	variable	research_data	doc_id	uuid	lang
Dennoch sind die Einwohner Freiburgs wahrscheinlich in einer besseren Position im Hinblick auf Pendelentfernungen als die Einwohner Magdeburgs.	0			34546	35a434c6-24a6-4f8e-b402-74594076731a	de
Dabei haben wir jedes Mal eine der oben genannten generierten Gruppen (Türken, Europäer, Flüchtlinge und „Anderssein“) eingefügt.	1	exploredata-ZA5254_Varanswer;exploredata-ZA5254_Varregion_9;exploredata-ZA5254_Varcode_9;unk	ZA5254	61162	85d85492-025a-444a-a610-7a3247ead86b	de
These premises fit the situation of the consumption of news about European issues.	0			55534	1d828612-e4c0-4086-a7c8-d7626a8836ce	en
In Westdeutschland zeigen sich die Frauen unzufriedener als die Männer.	1	exploredata-ZA3693_Varv131;exploredata-ZA3904_Varv556;exploredata-ZA4246_VarD14;exploredata-ZA4056_Varv248	ZA4056;ZA3693;ZA4246;ZA3904	21372	4398d174-1709-4461-85fb-49bb58e09021	de
Possible answers included ‘no, you are not ready to pay more’, ‘yes, you would be ready to pay up to 5% more’,‘yes, you would be ready to pay 6 to 10% more’,‘yes, you would be ready to pay more than 10% more’ and ‘don’t know’.	1	exploredata-ZA6644_Varqa6;exploredata-ZA5565_Varqd10	ZA5565;ZA6644	61598	ad8e0ec7-e0b2-4ca3-a723-3bbfda808558	en
Die Infrastruktur der Kinderbetreuung ist weiterhin um ein Vielfaches umfangreicher als in Westdeutschland.	0			39445	047d0972-5f54-45f8-aa9e-3e34db6a3fc7	de
Our main findings are the following.	0			61806	cf10712a-4662-41fc-9ea4-2e22fa94ecf4	en
Notably this last country, Austria, is the only one that witnessed an increase over time of the returns to education, but, while this is also the case for Japan, the Philippines and West Germany, their coefficients are not significant.	1	exploredata-ZA5890_VarEDUCYRS;exploredata-ZA5890_VarISCO88	ZA5890	57227	68c76dd6-4c5a-4d2e-bf40-a7d96a38fd10	en
Mplus bietet sich an, weil direkt die gemeinsamen Schätzwerte über die imputierten Datensätze berechnet werden.	0			20515	e6c66193-3106-4ca9-81df-36498ae82d2b	de
A country was classified as Destination if it was amongst the top ten for asylum applications per 100, 000 population in 2015 [27].	0			61598	051cf9f6-4085-4a95-bce6-47d4ead394b5	en
In spite of the widespread assumption that media impact identity, the research on the effects of media on European identity is still rare, with view exceptions (for overviews see, Bruter, 2005; De Vreese & Boomgaarden, 2006; De Vreese, Boomgaarden, & Semetko, 2011; Olausson, 2010; Staehelin, 2016; Triga & Vadratsikas, 2016).	1	exploredata-ZA5876_Varqd2_1;exploredata-ZA5876_Varqd3_1	ZA5876	55534	f8c9a0c1-1ef9-4c3a-9fc8-35a2c9deea0c	en
My aim is two-fold: First, to investigate the degree of openness of ISSP countries, also with respect to the influence that parental socioeconomic background has on respondents’ education; and second, to consider how socially mobile people perceive themselves as being, whether this perception connects with an actual change of social position, and how this varies across countries.	0			57227	28dff3f5-2331-4f7a-9a47-9964a967871a	en
Als Survey-Serie werden hier Gruppen von mindestens fünf Surveys, die denselben Namen tragen und die einen Zeitraum von mindestens zehn Jahren abdecken, bezeichnet.	0			12715	9b9d3c96-9e23-4d74-b6e7-04ed037c4c0a	de
Since 2001 total membership in united Germany is lower than it was in West Germany before unification.	0			34392	edbfdf6a-28cb-4b8f-b643-7268c65a2e1f	en
Another method for the examination of functional equivalence is based on multi-group comparisons (multi-group confirmatory factor analysis [MGCFA]; see Lubke and Muthén, 2004).	0			61751	995e3ff2-b767-48e8-bae7-9c568f6e8b75	en
Da es sowohl Argumente dafür gibt, dass durch das Quotaverfahren Postmaterialisten bevorzugt ausgewählt werden, als auch dafür, dass weniger Post- materialisten befragt werden, und nicht klar ist, ob diese Effekte sich aufheben oder ob ein Effekt den anderen überlagert, ist die folgende Hypothese ungerichtet formuliert.	1	exploredata-ZA4460_Varq532a	ZA4460	12715	cf5ca192-8299-46bd-943a-cc2b91fe7aa4	de
Multiple Gruppenvergleiche erlauben die Prüfung der Messinvarianz der Indikatoren, weil Parameter (z.B. Faktorenladungen) über die verschiedenen Gruppen gleichgesetzt werden können.	0			20515	9a179a95-e626-4e0d-bbf0-5bbea95c3709	de
Moreover, trust has the strongest impact on acceptance in 10 countries.	1	exploredata-ZA4976_Varv136;exploredata-ZA4976_Varv107;exploredata-ZA4976_Varv130;exploredata-ZA4976_Varv108	ZA4976	61806	806355cb-3521-4261-8570-15cd015ac99f	en
Da die Abweichungen bei den Antworten auf die einfache Wahlabsichtsfrage zwischen West- und Ostdeutschland ähnlicher sind (vgl. Grafik 9), ist zu vermuten, dass unser Messmodell die Verhältnisse in Ostdeutschland schlechter abbildet als im Westen.	0			56981	9be42485-0d17-449b-8a64-f74bb35f304f	de
Ein listenweiser Ausschluss fehlender Werte ist zudem nicht sehr effizient, weil die beobachteten Informationen von Personen, für die (mindestens) eine Angabe fehlt, unberücksichtigt bleiben.	0			20515	22b2eeb0-2df6-4df6-87d6-0cddce83c44e	de
In general, respondents were more supportive of employment rights for foreign workers to be provided by employers (minimum wage, accident insurance) than political and social rights to be provided by the state.	1	exploredata-ZA2800_VarV160;exploredata-ZA2800_VarV161;exploredata-ZA2800_VarV162;exploredata-ZA2800_VarV175;exploredata-ZA2800_VarV159;exploredata-ZA2800_VarV178;exploredata-ZA2800_VarV158;exploredata-ZA2800_VarV47;exploredata-ZA2800_VarV176;exploredata-ZA2800_VarV262;exploredata-ZA2800_VarV177;exploredata-ZA2800_VarV174	ZA2800	19926	8de67206-da71-48f8-a01a-c52f3605c23b	en
The ratio of ‘not favor’ increased.	0			61806	20f31da7-c2ed-402c-a5df-7613007acc1c	en
Damit unterscheidet sich die Reihenfolge der eingeführten Restriktionen von einem metrischen Messmodell.	0			20515	4a34ec01-989d-49b1-829f-2a22147ad9b1	de
However, since they are heavily depended on methodological individualism in which individual perception was merely regarded as a byproduct of an individual’s rational thinking or perception, they did not fully consider the significant role of the structural factors, for example, the country or neighborhood, or contextual variables, such as national economic welfare and social capital [9].	0			61806	b44e86be-2cc4-4e3d-97c7-08f217d937c3	en
Er scheint in extrem unausgeglichenen Situationen wie 1980 eine größere Wirkung von bis zu 2, 5 Prozentpunkten zu erreichen.	0			56981	48cdee6f-b2f7-4f79-96f2-b87f81eda3da	de
For the RM, we use the “centrality of religion” scale developed by Stefan Huber which is based on Charles Glock’s dimensional model of religion and claims to measure the centrality of religion in people’s life in a comparable way across different religious cultures.	1	exploredata-ZA4950_VarV64	ZA4950	61751	925a2f8f-bd91-43af-a27a-c5eb30a88303	en
Trotz dieser Negativbeispiele können Wahlerfolge bei Nebenwahlen dennoch als Indiz für die Etablierung von Parteien gelten.	0			51381	f09f274c-2342-40e1-9d95-6cad81eadd6e	de
Zur Schätzung wird Mplus verwandt (Muthén und Muthén 2006).	0			20515	6db84055-03ef-4a7d-aff7-e288d9c32dbb	de
Auch die Frageformulierung macht einen Unterschied: Wenn die Befragten als „Experten“angesprochen werden, steigt – ceteris paribus – die Wahrscheinlichkeit, dass sie die beiden postmaterialistischen Items auswählen.	0			12715	26a78ea3-748e-4c0a-8926-68628a4a6a8a	de
A second precondition for European identity to take root is its establishment as a conversational “habit”, within general public discourses, and media play a crucial role in this regard (Gripsrud, 2007, p.490) by continuously placing certain issue on its agenda.	1	exploredata-ZA5876_Varqd2_1;exploredata-ZA5876_Varqd3_1	ZA5876	55534	a48ccd42-77cf-477c-9f29-54ad16c95bbf	en
Dieser dürfte auf die unterschiedlichen historischen Erfahrungen bzw. die daraus resultierenden Unterschiede in der regionalen Verteilung der verschiedenen Ausländernationalitäten zurückzuführen sein.	0			61162	6e4e8eba-0db8-46d1-9bdb-b815adbd7a5d	de
Belastungen für die Umwelt, die sich aus verschiedenen individuellen Verhaltensweisen ergeben, bleiben damit also ausgeklammert, es sei denn, dass diese Belastungen in weiterer Folge auch als Bedrohung für sich selbst oder die Familie wahrgenommen werden.	1	exploredata-ZA5500_Varv17	ZA5500	51971	7129f72b-5660-4be8-8567-9693c3758ae1	de
Die Differenz zwischen Ost- und Westdeutschland variiert zwischen 20 und 30 Prozentpunkten.	1	exploredata-ZA3693_Varv131;exploredata-ZA3904_Varv556;exploredata-ZA4056_Varv248	ZA4056;ZA3693;ZA3904	21372	c55c481a-b9a9-416c-9a99-c8ef14cc57cb	de
Culture-dependent interpretations of item formulations by the respondents might lead to an item bias, when single items do not measure the underlying indicator in the same way in different countries, which in turn puts at risk the content validity of cross-cultural measurements.	0			61751	dd5b76d4-b516-472a-a3fd-0c67c5310940	en
Bei näherer Betrachtung wird deutlich, dass sich die Einflussstärke der Prädiktorvariablen in West- und Ostdeutschland teilweise unterscheidet: Während das Haushaltseinkommen die subjektive Schichteinstufung in Ostdeutschland stärker bestimmt als in Westdeutschland, erweist sich der Einfluss der Klassenlage dort als etwas schwächer.	1	exploredata-ZA4600_VarV446;exploredata-ZA4600_VarV3;exploredata-ZA4600_VarV120;exploredata-ZA4600_VarV444	ZA4600	21642	ef8b9463-ad83-4a8d-ac56-86d838d1f1c8	de
H2 was also supported by the results (see Table 2).	0			55534	40aff1e3-1db2-48ab-986f-f8a92de64b7d	en
