context_id	context
1	" Die strukturierte sozio-ökonomische Ungleichheit, d.h. die mit der Position in der gesellschaftlichen Statushierarchie verbundene Benachteiligung oder Privilegierung von Bevölkerungsgruppen, genießt neuerdings wieder zunehmende Aufmerksamkeit:   So haben Wissenschaftler und die Medien z.B. von der schrumpfenden Mittelschicht, einer wachsenden Unterschicht und deren Einstellungen und Verhaltensgewohnheiten, der Entstehung eines neuen Präkariats oder auch der in Deutschland besonders ausgeprägten Abhängigkeit der Bildungschancen von der sozialen Herkunft berichtet und damit lebhafte Diskussionen ausgelöst.   Noch vor wenigen Jahren wurde dagegen in der Soziologie - vor allem in Deutschland - eine ebenso intensive wie kontroverse Debatte über eine Gesellschaft ""jenseits von Klasse und Schicht"" (Beck 1986: 121ff. und Hradil 1987) und neue, d.h. insbesondere ""klassenlose"" oder gar entstrukturierte Formen der sozialen Ungleichheit geführt.   Auch von prominenten Sozialwissenschaftlern wurde die These vertreten, Klassen und Schichten hätten sich im Zuge eines durch Prozesse der Individualisierung gekennzeichneten Wandels der Sozialstruktur aufgelöst und als Kategorien der Sozialstruktur- und Ungleichheitsanalyse überlebt.   Wenngleich sie Gegenstand kontroverser Debatten war, hat diese Sichtweise in den 1980er und 1990er Jahren hierzulande eine dominierende Rolle gespielt.   Allerdings ist es inzwischen ""um die Auflösungsthese stiller geworden"" (Geißler 2010:39), wohl nicht zuletzt deshalb, weil sie mit aktuellen Beobachten von sozialen Zusammenhängen und Tendenzen der gesellschaftlichen Entwicklung - wenn überhaupt - nur sehr bedingt kompatibel zu sein scheint. "
2	 Bei Betrachtung der differenzierten Schichtkategorien wird deutlich, dass auf die Unterschicht (West 3%, Ost 7%) und Oberschicht (West 0,5%, Ost 0,2%) in beiden Landesteilen nur marginale Bevölkerungsanteile entfallen, wenngleich sich auch bei der Betrachtung der „Randschichten“ die Tendenz zu einer höheren Einstufung der Westdeutschen manifestiert.   Die nach wie vor beträchtlichen Unterschiede in der Schichtidentifikation zwischen West- und Ostdeutschland haben sich im Zeitverlauf nur mäßig verringert: zwischen 1992 und 2008 beim Anteil der Unter-/Arbeiterschicht von 27 auf 18 und beim Anteil der Mittelschicht von 18 auf 10 Prozentpunkte. 
3	 Für die Untersuchung von potenziellen Einstellungsdifferenzen wurden vier Variablen herangezogen: (1) die subjektive Beurteilung der eigenen wirtschaftlichen Lage; (2) die Einschätzung, ob man „in einem Land wie Deutschland sehr gut leben kann“; (3) die Einschätzung, dass man im Vergleich zu anderen, die in Deutschland leben, seinen gerechten Anteil erhält; (4) das Ausmaß des politischen Interesses.   Ob mit der „gefühlten“ Zugehörigkeit zu unterschiedlichen sozialen Schichten möglicherweise auch Verhaltensunterschiede verbunden sind, wurde exemplarisch anhand der Häufigkeit und Dauer des Fernsehens untersucht, Verhaltensgewohnheiten, die verschiedentlich mit der Schichtzugehörigkeit in Zusammenhang gebracht worden sind.   Um die Frage zu prüfen, ob signifikante Schichteffekte vorliegen, wurden lineare Regressionsanalysen durchgeführt und die Nettoeffekte der subjektiven Schichtzugehörigkeit bei gleichzeitiger Kontrolle der Region (Ost-, Westdeutschland), des Alters der Befragten sowie ihrer Einkommensposition und schulischen Qualifikation ermittelt (Tabelle 3). 
4	" Zugegeben, die religiöse Lage in Deutschland ist unübersichtlich.   Da sprechen die einen, zum Beispiel der Religionspädagoge Georg Langenhorst mit Blick auf die Gegenwartsliteratur, von einer ""neuen Unbefangenheit im Umgang mit Religion"" und einer ""Wiederentdeckung der Religion, auch des Christentums"".   Andere, wie der Religionssoziologe Detlef Pollack, ziehen aus empirischen Daten über die Religiosität der Individuen den Schluss, es müsse ""dem weit verbreiteten Bild eines überbordenden allgemeinen religiösen Bedürfnisses widersprochen werden"".   Der ""Aufschwung an außerkirchlicher Religiosität"" sei nicht in der Lage, die ""Verluste zu kompensieren, die die traditionalen Formen der Religion hinzunehmen haben"".  Ist die sogenannte ""Wiederkehr des Religiösen"" gar nur eine Medienfiktion?   Um Klarheit über die vielschichtigen religiösen Entwicklungen der letzten 15 Jahre in Deutschland zu gewinnen, werden zunächst drei Haupttrends empirisch herausgearbeitet.   Nach einer zusammenfassenden Deutung werden einige Überlegungen angestellt, wie die katholische Kirche in Deutschland auf diese Herausforderungen antworten sollte. "
5	 Hinsichtlich der persönlichen Religiosität zeigt sich als erstes, daß der Glaube an Gott seit Beginn der 90er Jahre geringfügig zugenommen hat.   Nach Angaben der Europäischen Wertestudie von 1990 und Daten aus dem VW-Projekt „Church and Religion in an Enlarged Europe“ (Lehrstuhl Pollack, Viadrina-Universität, Frankfurt/Oder) hat sich in Westdeutschland der Anteil der Menschen, die an einen persönlichen Gott glauben, von 24 Prozent (1990) auf 28 Prozent 2006 erhöht, während er in Ostdeutschland von 17 auf 14 Prozent zurückging.   In beiden Landesteilen machen diese Anteile hochkirchlicher Positionen im Jahr 2006 allerdings nur knapp die Hälfte derjenigen Stimmen aus, die Gott als eine „Art Geist oder Lebenskraft“ begreifen (43 Prozent in Westdeutschland, 26 Prozent in Ostdeutschland).   Geringfügig zugelegt hat – im Vergleich der Daten des Allbus (Allgemeine Bevölkerungsumfrage der Sozialwissenschaften) von 1992 und des Religionsmonitors von 2007 – auch die Zustimmung zur Aussage „Es gibt einen Gott, der sich mit jedem Menschen persönlich abgibt“: von 38 auf 42 Prozent in Westdeutschland, von 14 auf 15 Prozent in Ostdeutschland.   Leicht zugenommen hat außerdem die Häufigkeit des Betens: Der Prozentsatz derer, die angaben, ein- oder mehrmals pro Tag zu beten, stieg in Westdeutschland von 22 Prozent (1994) auf 28 Prozent (2007), in Ostdeutschland von acht auf zehn Prozent.   Umgekehrt sanken die Anteile derjenigen, die nach eigenem Bekunden „nie“ beten, von 25 auf 22 Prozent in Westdeutschland und von 75 auf 66 Prozent in Ostdeutschland – die Daten von 1994 stammen ebenfalls aus dem Allbus, die von 2007 aus dem Religionsmonitor. 
6	 Zusammenfassung   Es werden Zusammenhänge zwischen der Polarisierung von Lebenslagen, gesellschaftlichen Verteilungskonflikten und der Wahrnehmung gesellschaftlicher Ungleichheit in Deutschland thematisiert.   Anhand der empirischen Befunde wird deutlich, dass der - über den Wohlstandsindikator Einkommen gemessene - Grad an Ungleichheit und Polarisierung von Lebenslagen in der Bundesrepublik Deutschland in der jüngeren Vergangenheit gestiegen ist.   Damit einhergehend, ist die wahrgenommene Intensität des gesellschaftlich besonders relevanten Konfliktes zwischen Arm und Reich nicht unerheblich gewachsen.   Hierbei zeigt sich gerade bei sozialpolitischen Problemgruppen - und hier wiederum besonders prononciert bei den (Langzeit-)Arbeitslosen - ein relativ großes Unzufriedenheitspotenzial.   Dieses birgt für die Demokratie bzw. für die gesellschaftliche Stabilität in Deutschland gewisse Gefährdungen in sich, wenngleich - zumindest in Westdeutschland - diese Gefährdungen in EU-27-weiter Perspektive eher auf mittleren Niveau einzuordnen sind, d.h. in dieser internationalen Relativität nur eine mittlere Gefährdungslage für (West-)Deutschland indiziert wird.
7	Die durchschnittlichen Zufriedenheitswerte mit der Demokratie sind in diesem Kontext – auf SOEP-, Wohlfahrtsstaatssurvey-, Sozialstaatssurvey-, ALLBUS- und Eurobarometer-Basis – in Deutschland – etwa verglichen mit der durchschnittlichen Lebenszufriedenheit – relativ niedrig. Hierbei ergeben sich höhere Durchschnittswerte in West- gegenüber Ostdeutschland.
8	Eine ähnliche Frage ist die nach der Gerechtigkeit entsprechender Unterschiede: So wurden – eigenen Berechnungen zufolge – die sozialen Unterschiede in der ALLBUS 2000 nur von 41,8 %, 2004 von 31,5 % und 2008 von 27,4 % der deutschen Bevölkerung als gerecht bewertet; hier ergibt sich also eine klar abnehmende Tendenz in den betreffenden Anteilswerten.   Korrespondierend damit, wurde die Verteilung des Wohlstands in Deutschland in den Wohlfahrts-/Sozialstaatssurveys 1998 von 75,0 %, 2005 von 77,8 %, 2006 von 76,7 %, 2007 von 75,9 % und 2008 – mit einem Höchstwert – von 80,4 % der deutschen Bevölkerung als überhaupt nicht bzw. als eher nicht gerecht eingestuft.  War noch Mitte der 1990er-Jahre (1995: 55,0 %) bzw. Anfang der 2000er-Jahre (2001: 46,0 %) gemäß Allensbach-Befunden ungefähr (etwas mehr bzw. etwas weniger als) die Hälfte der bundesdeutschen Bevölkerung der Meinung, dass die soziale Gerechtigkeit in Deutschland „in den letzten drei, vier Jahren“ abgenommen habe, zeigen die Sozialstaatssurvey-Ergebnisse entsprechende Prozentwerte in Höhe von rund drei Vierteln (2005: 78,7 %, 2006: 76,5 %, 2007: 73,2 %, 2008: 75,3 %). Bezüglich der Frage nach den aus Einkommensunterschieden resultierenden Leistungsanreizen zeigt sich eine tendenziell stärkere Befürwortung des bestehenden Zusammenhangs in den sozial privilegierteren Gruppen: Während nämlich im Jahre 2008 ca. 57 % im obersten Einkommensquintil diesem Zusammenhang ihre Zustimmung erteilten, waren dies im untersten Quintil lediglich gut 48 %. In einer geschlechterbezogenen Perspektive ist der Zustimmungsgrad in diesem Kontext in der Gruppe der Frauen deutlich – um rund zwölf Prozentpunkte – niedriger als bei den Männern. Auch in altersdifferenzierter Betrachtung ergibt sich eine relativ klare Tendenz – in diesem Fall zu steigenden prozentualen Zustimmungswerten von den jüngeren zu den älteren Alterskohorten: Bis zum Alter von 39 Jahren stimmen lediglich etwa 45 % zu, dass Einkommensunterschiede als Leistungsanreiz fungierten; in der obersten Altersgruppe der 65-Jährigen und Älteren sind dies hingegen immerhin fast 65 %, was einem Unterschied von fast 20 Prozentpunkten entspricht.  Allerdings ist die Zustimmung zur Leistungsbezogenheit der bundesdeutschen Einkommensverteilung auch bei den sozial benachteiligten Gruppen nicht unbeträchtlich. So beläuft sich der niedrigste im Jahre 2008 gemessene Wert – in der Gruppe der 30-39-Jährigen – auf immerhin ca. 44 %.   Hierzu passend, wurden die jeweils bestehenden Rangunterschiede in der Einkommenshierarchie in der ALLBUS 2000 von 57,0 %, 2004 von 56,2 % und 2008 von 53,7 % der deutschen Bevölkerung als grundsätzlich akzeptabel eingestuft.   Von den Werten her signalisiert dies allerdings eine (leicht) fallende Zustimmungstendenz.   Eine Bedarfssicherung durch Umverteilung befürworten primär gesellschaftliche Problemgruppen: In der Gruppe der Langzeitarbeitslosen waren dies im Jahre 2008 gut 95 %.   Auch ist die redistributive Zustimmung in Ostdeutschland markant – um gut fünf Prozentpunkte – höher als in Westdeutschland (siehe Tabelle 4.3).   Hinsichtlich des Redistributionskontextes stimmten auch in der ALLBUS 2008 immerhin gut zwei Drittel (68,1 %) der Befragten einer Umverteilung zu Gunsten „einfacher Leute“ zu.   Entsprechend erschien im Jahre 2004 56,4 % der deutschen Bevölkerung die bestehende Ungleichheit prinzipiell als noch weiter reduzierbar.   Diese Grundhaltung kommt auch darin zum Ausdruck, dass im Jahre 2004 84,0% der Befragten die Gewinne in Deutschland für nicht gerecht verteilt hielten.   Auch beurteilten 2000 38,0 %, 2002 37,6 %, 2004 44,0 %, 2006 39,8 % und 2008 45,2 % der Befragten ihren Anteil am Lebensstandard als nicht gerecht.  Ergänzend waren 2000 51,6 % der Befragten der Auffassung, dass man „gutes Geld“ nicht ohne entsprechende Leistung beziehen dürfe. 
9	 Gleichwohl erachteten die in der ALLBUS 2008 Befragten die Demokratie ganz überwiegend als eine gute Idee: 88,6 % von ihnen waren ziemlich bzw. sehr dafür.   Eine Diktatur wurde hingegen – sozusagen spiegelbildlich – von 83,5% der Befragten, d. h in hohem Maße, abgelehnt; sie fanden, dass eine Diktatur auch manchmal nicht besser als eine Demokratie sei.   In Bezug auf die Konzeption des Sozialismus waren im Jahre 2000 56,8 % und 2006 52,5 % der bundesdeutschen Bevölkerung der Meinung, dass er eine gute Idee mit allerdings schlechter Ausführung (gewesen) sei. 
10	 Das bundesdeutsche Demokratiezufriedenheits-Durchschnittsniveau in der ALLBUS 2008 entsprach lediglich (etwa) der Ausprägung „etwas zufrieden mit der Demokratie in der Bundesrepublik Deutschland“.   Hiermit einhergehend, indizierte in der ALLBUS 2008 – auf einer Siebener-Skala (1 = kein Vertrauen, …, 7 = sehr großes Vertrauen) – das durchschnittliche Niveau für das Vertrauen in politische Parteien mit 3,1 Punkten ein eher geringes Vertrauen.   Außerdem offenbarte sich – auf einer Vierer-Skala (1 = keine Zustimmung, …, 4 = volle Zustimmung) – mit einem Durchschnittswert in Höhe von 1,9 Punkten (d. h. „eher Zustimmung“) auf die Frage, ob sich Politiker um die Gedanken der Bürger kümmern würden, eine (eher) ablehnende Antwort.   Des Weiteren wurde – ebenfalls auf einer Vierer-Skala (1 = keine Zustimmung, …, 4 = volle Zustimmung) – die Frage, ob Politiker die Interessen der Bevölkerung vertreten würden, im Durchschnitt mit 2,7 Punkten (d. h. „eher keine Zustimmung“) eher negiert 
