doc_id	text	is_variable	variable	uuid
NEGGBA	In der Allgemeinbevölkerung liegen diese Anteile bei 39,9 % und 7,0 %.	0	No	b42fad96-8fd7-48b4-a41a-c7ffc09901f1
OFMAAV	Mit der Gründung der DDR verschwand das Christliche als Bestandteil der Kindererziehung beinahe gänzlich aus den ostdeutschen Familien. In Westdeutschland blieb es dagegen noch lange erhalten.	0	No	e87c54c2-e8b8-4da2-a2d7-a56956275174
HR5JMA	Die Vorstellung, dass ein Italiener in die eigene Familie einheiratet, war bereits 1996 nur für 17 % der Westdeutschen mit negativen Gefühlen verbunden; 2006 ist dies noch seltener (11 %) der Fall.	1	297-Yes,273-No,292-No	89cf6dd2-0904-4e2a-8cf1-132c9c47809d
HN55EX	 Wir konzentrieren uns auf soziale Gerechtigkeit und lassen damit andere Aspekte der Gerechtigkeit außer Acht, beispielsweise das gerechte Handeln in kleinen Gemeinschaften oder die Frage, wie der Einzelne göttlichen und natürlichen Grenzen gerecht wird. 	0	No	651aa36a-d494-4ead-8c38-917160e3e101
GCXAVY	Das Heiratsjahr wurde in allen fünf Studien erfragt.	1	961-Yes,962-No	695501c2-a0a9-4f68-acfd-cbe2419c437f
LAWXJA	Dass der Anteil der Kohorte der 41- bis 50-Jährigen zuletzt abgenommen hat, beruht darauf, dass Jahrgänge aus der schlechter organisierten Kohorte der 31- bis 40-Jährigen nachgerückt sind.	0	NoSkip	1d6aa9bf-dcd7-4ce3-81e3-1d4b586573ed
LAWXJA	Die hier beobachtbare Größenordnung spricht aber dafür, dass es ungeachtet der normalen statistischen Schwankungen zu einer Trendwende gekommen ist.	0	No	5d92f2aa-b850-4093-87e0-51d754bd8968
TOCIUQ	Diesen haben gerade einmal 20 Prozent der Bevölkerung als zutreffend gewählt.	0	No	ab37a904-9cc2-41ae-a44d-8edf70325a30
TQVSTD	Von durchschnittlich 1,44 Kindern bei Befragten, die sich als nicht religiös bezeichnen, steigt die Kinderzahl auf 1,9 Kinder bei Befragten, die sich als sehr religiös einschätzen, an.	1	580-Yes,1504-Yes,732-No	575b9be5-c516-4065-8002-5d720501845c
LAWXJA	Außerdem gelang es den Gewerkschaften, aus dem politischen Abseits herauszutreten, in das sie sich mit ihrer Opposition gegen die Agenda 2010 selbst hineinmanövriert hatten. 	0	No	458985f2-5d51-4020-81d6-3289e8afd622
WEGIYK	Zum einen lässt sich feststellen, dass die Zugehörigkeitsraten in Abhängigkeit von der vorherrschenden konfessionellen Tradition differieren, indem sie in den katholisch verfassten Staaten insgesamt deutlich über denen der Länder mit protestantischer Tradition liegen.	0	No	72d9b741-2c71-41be-8a2b-6368137dd0b0
LAWXJA	Für die vorliegenden Berechnungen wurde ein kumulierter Datensatz verwendet, in dem alle Erhebungen von 1980 bis 2012 zusammengefasst sind (Terwey/Balzer, 2014).	0	No	ac2641db-72b4-4c53-bf70-0f71e578c251
NEGGBA	Wird der Vergleich deshalb nur auf die Vollzeit-Erwerbstätigen beschränkt, ergibt sich aber das gleiche Bild: Auch in dieser Subpopulation sind Schuldner deutlich seltener einer Gewerkschaft angehörend als Personen der Allgemeinbevölkerung.	0	NoSkip	84f159f1-6677-40a7-9a17-bdc0b849ca37
BFRLPR	Des weiteren beurteilen Personen mit geringem politischen Interesse die allgemeinwirtschaftliche Situation eher schlecht. 	1	21-Yes,23-No	3e450cba-81db-41de-99a0-f516a8a49fb8
LAWXJA	Der jüngste Mitgliederzuwachs hält aber nur an, wenn die Gewerkschaften auch vermehrt Frauen, Teilzeitbeschäftigte und Jüngere organisieren. 	0	No	1b3a04d9-74bf-4366-82c0-535b8c39e0f3
OEZUSL	Im Vergleich zu den 1990er Jahren ist der Mitgliederrückgang aber gebremst.	0	No	0b04be5f-f9f7-4007-b51a-a2123ea14464
UNIXKD	Vermutlich spielt die Sozialisation in unterschiedlichen Gesellschaftssystemen ein Rolle.	0	No	77c54a3d-fff1-4a2a-89ec-3bc15f19a05d
YZTDWQ	Der Grad der Zustimmung zur Esoterik kann vor dem Hintergrund obiger Ausführungen auch als Indikator für den Grad individueller religiöser Individualisierung verstanden werden.	0	No	ea4d5399-2e36-4a92-babb-5631981f95c7
HR5JMA	 In Deutschland lebten Ende 2006 ungefähr sieben Millionen ausländische Staatsbürger, die Mehrzahl von ihnen seit langem - die durchschnittliche Aufenthaltsdauer liegt bei 17 Jahren. 	0	No	67d66932-bccc-4f31-ab7d-e9a399f4ff99
LAWXJA	Ob diese Erfolge anhalten werden, ist aber keinesfalls sicher. 	0	No	8f9fd961-4389-48bb-936b-0fb0f64fd16a
NEGGBA	Bezüglich des Alters zeigt sich, dass die Befragten der Insolvenzstichprobe mit 45,2 Jahren etwas jünger sind als die Durchschnittsbevölkerung (49,3 Jahre).	0	NoSkip	ef371fa1-fdb8-4f42-8901-cb0d85311fc0
TQVSTD	Vielmehr scheint es, als sei womöglich das religiöse Interesse weitergegeben oder sogar belebt worden - nicht aber unbedingt die religiöse Praxis.	0	No	554e3525-2e5b-4e7b-88ad-a88417dcd487
FAGECO	Umfragen bestehen häuﬁg aus Fragen bei welchen die Befragten dazu aufgefordert werden ein Produkt, eine Dienstleistung oder ihre Zufriedenheit auf einer ordinalen Skala zu beurteilen. 	0	No	e90294f3-bc58-43c5-ac50-348d70c0686d
GZNGLV	Gefragt wurde nach Möglichkeiten und Bereitschaften der politischen Beteiligung (Eith 2000).	0	No	41d3c96f-b6a2-46e4-8422-6455a2e8a061
TAQKHA	Die „randständigen” Bevölkerungsschichten tendieren dazu, wahrheitsgemäß anzugeben, ob sie gewählt haben oder nicht.	0	No	fbe4877b-4ab8-4c0f-9e54-f11d6b432df1
RSM5HH-LPKUTF	 Es werden Zusammenhänge zwischen der Polarisierung von Lebenslagen, gesellschaftlichen Verteilungskonflikten und der Wahrnehmung gesellschaftlicher Ungleichheit in Deutschland thematisiert. 	0	No	bf0dae07-7fcf-4a38-8f33-776e58d8c4e7
NEGGBA	Die Zustimmung zu diesen „Wegen“ ist für die Verbraucherinsolvenzstichprobe wie den ALLBUS 2004 (und den auf die vergleichbaren Bundesländer reduzierten ALLBUS 2004) in Abbildung 24 abgetragen.	0	No	ccf42f2a-28ff-409d-a33c-3f3ef3cc7ea5
ACGAHQ	Hintergrund der These der normativen Subjektivierung waren jugend- und sozialisationstheoretische Annahmen. 	0	No	0ad28e86-b0c8-4ac7-ba60-bf9e15055c33
