linenumber	v_id	v_label	v_topic	v_question	v_answer
1	veastwest	REGION OF INTERVIEW: WEST - EAST 	Identification variables	 Does this interview take place on the territory of the old Federal Republic (incl. West Berlin) or on the territory of the former GDR (incl. East Berlin)? 	 Respondents from the old federal states / interview on the territory of the old Federal Republic (incl. West Berlin) ; Respondents from the new federal states / interview on the territory of the former GDR (incl. East Berlin) 
2	v16	SATISFACTION WITH PERFORMANCE OF FED.GOV	Political attitudes and participation	How satisfied are you - on the whole - with the current performance of the German government? 	Not available;Very satisfied;Fairly satisfied;Somewhat satisfied;Somewhat dissatisfied;Fairly dissatisfied;Very dissatisfied;Don't know;No answer
3	v18	SATISFACTION WITH DEMOCRACY IN THE FRG 	Political attitudes and participation	Let's turn to democracy in Germany : Generally speaking how satisfied are you with democracy as practiced in Germany ? 	Not available;Very satisfied;Fairly satisfied;Somewhat satisfied;Somewhat dissatisfied;Fairly dissatisfied;Very dissatisfied;Don't know;No answer
4	v20	SELF-PLACEMENT ON LEFT-RIGHT CONTINUUM	Political attitudes and participation	Many people use the terms "left" and "right" to describe differing political views. Here we have a scale that runs from left to right. If you think of your own political views, where would you place them on this scale? Please choose one of the boxes and tell me the letter printed underneath this box. 	Not available;left;right;Refused;Don't know;No answer
5	v23	DO YOU TEND TO SUPPORT A POLITIC. PARTY?	Political attitudes and participation	Many people in Germany tend to support a particular political party over a long period of time although they may also occasionally vote for another party. What about you? Do you - in general - tend to support a particular political party? 	Not available;Yes;No;Refused;No answer
6	v25	VOTING INTENTION: FEDERAL ELECTION 	Political attitudes and participation	If there was a federal election next Sunday, which party would you vote for with your second vote ("Zweitstimme")? (Int.: Only one choice possible. If there are queries: "Zweitstimme" is the vote for a party, not for a candidate.)?	Respondent didn't vote;The Christian Democratic/Christian Social Union CDU/CSU;The Social Democratic Party SPD;The Free Democratic Party FDP;The Greens Bündnis 90/Die Grünen;The Republicans;The Left PDS Die Linkspartei Die Linke;National Democratic Party of Germany NPD;German Communist Party DKP;Pirate Party Piratenpartei;Alternative for Germany AfD (Alternative für Deutschland);Other party;Didn't vote for a party ("Keine Zweitstimme abgegeben");Refused;Don't know;Wouldn't vote;No answer
7	v27	ELIGIBLE TO VOTE LAST FEDERAL ELECTION? 	Political attitudes and participation	The last federal election took place. Were you eligible to vote in this election?	Yes;No;No answer
8	v30	PARTY VOTE IN LAST FEDERAL ELECTION 	Political attitudes and participation	Which party did you vote for with your second vote ("Zweitstimme")?	Respondent didn't vote;The Christian Democratic/Christian Social Union CDU/CSU;The Social Democratic Party SPD;The Free Democratic Party FDP;The Greens Bündnis 90/Die Grünen;The Republicans;The Left PDS Die Linkspartei Die Linke;National Democratic Party of Germany NPD;German Communist Party DKP;Pirate Party Piratenpartei;Alternative for Germany AfD (Alternative für Deutschland);Other party;Didn't vote for a party ("Keine Zweitstimme abgegeben");Refused;Don't know;No answer
9	v48	PROBABILITY: VOTE FOR THE LEFT 	Political attitudes and participation	There is a large number of political parties in Germany. Each one of them would like to have your vote at elections. Please tell me, for each of the following parties, how likely it is that you would ever vote for this party. Please use this scale. - 1 on the scale means that it is very unlikely for you. - 10 on the scale means that it is very likely for you. You can differentiate your answers using the numbers in between. 	Very unlikely;Likely;Very likely;Don't know this party;Don't know;No answer
10	v115	LET WOMEN DECIDE FREELY ABOUT ABORTION? 	Political attitudes and participation	Now we would like to hear your views on some political problems. Using this scale, please tell me to what extent you agree with the following statements. Number 1 means that you completely disagree with the statement, number 7 means that you agree completely with it. You can use the numbers between 1 and 7 to qualify your response. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
11	v136	POLITICAL GOALS: MAINTAIN LAW AND ORDER 	Political attitudes and participation	In politics, too, one can't have everything at once. On this card, there are four goals which can be pursued in politics. If you had to choose between these different goals, which one would seem to you personally to be the most important? 	Most important goal;Second most important goal;Third important goal;Forth important goal;Don’t know
12	v137	POLIT.GOALS:MORE INFLUENCE FOR CITIZENS 	Political attitudes and participation	In politics, too, one can't have everything at once. On this card, there are four goals which can be pursued in politics. If you had to choose between these different goals, which one would seem to you personally to be the most important?	Most important goal;Second most important goal;Third important goal;Forth important goal;Don’t know
13	v138	POLITICAL GOALS: FIGHT RISING PRICES	Political attitudes and participation	In politics, too, one can't have everything at once. On this card, there are four goals which can be pursued in politics. If you had to choose between these different goals, which one would seem to you personally to be the most important? 	Most important goal;Second most important goal;Third important goal;Forth important goal;Don’t know
14	v139	POLIT.GOALS:PROTECT RIGHT OF FREE SPEECH	Political attitudes and participation	In politics, too, one can't have everything at once. On this card, there are four goals which can be pursued in politics. If you had to choose between these different goals, which one would seem to you personally to be the most important? 	Most important goal;Second most important goal;Third important goal;Forth important goal;Don’t know
15	v140	INGLEHART-INDEX 	Political attitudes and participation	 What are your political priorities? 	Postmaterialist;Postmaterialist mixed-type;Materialist mixed-type;Materialist;Don’t know;No answer
16	v142	EAST SHOULD SHOW MORE PATIENCE 	Attitudes relating to the process of German unification	The following statements are about the situation in the old and new federal states. Please tell me for each statement whether you: completely agree, tend to agree, tend not to agree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
17	v144	REUNIFICATION MORE ADVANTAGES FOR EAST 	Attitudes relating to the process of German unification	The following statements are about the situation in the old and new federal states. Please tell me for each statement whether you: completely agree, tend to agree, tend not to agree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
18	v149	SOCIALISM: GOOD IDEA, POORLY IMPLEMENTED	Attitudes relating to the process of German unification	The following statements are about the situation in the old and new federal states. Please tell me for each statement whether you: completely agree, tend to agree, tend not to agree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
19	v151	SELF-ASSESSMENT OF SOCIAL CLASS, RESP. 	Social inequality and the welfare state	There is a lot of talk about social class these days. What class would you describe yourself as belonging to? The working class, the middle class, the upper middle class or the upper class?	The lower class;The working class;The middle class;The upper middle class;The upper class;None of these classes;Refused to select a category;Don't know;No answer
20	v152	TOP-BOTTOM-SCALE: SELF-CLASSIFIC., RESP. 	Social inequality and the welfare state	In our society there are groups which tend to be towards the top and groups which tend to be towards the bottom. Below is a scale that runs from top to bottom. Thinking of yourself, where would you put yourself on this scale? 	Not available;Bottom;Top;Refused to select a category;Don't know;No answer
21	v180	PROFITS NECESSARY FOR HEALTHY ECONOMY 	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please tell me for each opinion whether you agree completely, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
22	v181	STATE: PROVIDE JOBS AND STABLE PRICES 	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please tell me for each opinion whether you agree completely, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
23	v182	STATE:SECURE INCOME IN TIMES OF HARDSHIP	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please tell me for each opinion whether you agree completely, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
24	v183	SOCIAL SECURITY BAD FOR WORK ETHOS	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please tell me for each opinion whether you agree completely, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
